$ eslint .
=== test spot batch fetch directly ===
1175 symbols returned:
  RNFLXUSDT  price=73.42
  REQIXUSDT  price=1049.9
  RMDBUSDT   price=342.52
  RNVOUSDT   price=49.41
  RNETUSDT   price=267.84
  RRDDTUSDT  price=196.03
  RWULFUSDT  price=21.97
  RSHOPUSDT  price=122.43
  RRIOTUSDT  price=21.04
  RGLDUSDT   price=377.75
  RTLTUSDT   price=84.54
  RSQQQUSDT  price=37.57
  RDDOGUSDT  price=258.01
  RLLYUSDT   price=1188.13
  RXYZUSDT   price=77.15
  RCRWVUSDT  price=88.85
  RIRENUSDT  price=40.82
  RCRMUSDT   price=163.1
  RUSOUSDT   price=108.32
  RSNOWUSDT  price=261.98
  RBBAIUSDT  price=3.28
  RSOUNUSDT  price=6.62
  RLUNRUSDT  price=16.23
  RASTSUSDT  price=73.19
  RNOWUSDT   price=107.28
  RTQQQUSDT  price=77.02
  RUSARUSDT  price=18.56
  RCBRSUSDT  price=215.35
  RDRAMUSDT  price=63.04
  RCOHRUSDT  price=323.16
  REWZUSDT   price=36.01
  REWJUSDT   price=94.78
  RINDAUSDT  price=49.06
  RFXIUSDT   price=33.39
  RKWEBUSDT  price=26.42
  RSPCEUSDT  price=2.59
  RTCOMUSDT  price=42.79
  RBILIUSDT  price=17.81
  RBIDUUSDT  price=117.42
  RCSCOUSDT  price=121.44
  RJDUSDT    price=28.32
  RUUSDT     price=30.86
  RADBEUSDT  price=223.63
  RRBLXUSDT  price=55.45
  RDKNGUSDT  price=26.5
  RINTUUSDT  price=274.69
  RAFRMUSDT  price=83.2
  RARKKUSDT  price=80.19
  RNBISUSDT  price=220.33
  RPSQUSDT   price=25.43
  RVFSUSDT   price=3.09
  RRDWUSDT   price=10.2
  RONDSUSDT  price=7.29
  RAPLDUSDT  price=31.32
  RMELIUSDT  price=1856.4
  RCAPRUSDT  price=21.61
  RPINSUSDT  price=22.33
  RSNAPUSDT  price=4.69
  REXODUSDT  price=5.04
  ROPRAUSDT  price=19.1
  RGRABUSDT  price=3.97
  RDASHUSDT  price=191.75
  RABNBUSDT  price=148.58
  ROPENUSDT  price=4.79
  RMAUSDT    price=526.42
  RSOFIUSDT  price=18.79
  RGLXYUSDT  price=24.96
  RAMCUSDT   price=1.89
  RGMEUSDT   price=21.69
  RETHAUSDT  price=13.57
  RBBUSDT    price=10.95
  RCPNGUSDT  price=18.82
  RSOXXUSDT  price=582.88
  RFUTUUSDT  price=95.12
  REWYUSDT   price=183.2
  RCIFRUSDT  price=22.16
  RIBITUSDT  price=36.33
  RSITMUSDT  price=634.51
  RSPXUUSDT  price=35.95
  RUPROUSDT  price=146.4
  RSOXSUSDT  price=4.02
  RTNAUSDT   price=71.44
  RTZAUSDT   price=3.98
  RFASUSDT   price=163.93
  RFSLYUSDT  price=19.42
  RFAZUSDT   price=34.94
  RLABUUSDT  price=291.7
  RLABDUSDT  price=7.55
  RICLNUSDT  price=19.24
  RUMCUSDT   price=24.41
  RLITUSDT   price=72.52
  RTANUSDT   price=54.93
  RBNOUSDT   price=42.25
